threshold,max_terms,w1,w2,w3,recall100
0.77,2,13.88,11.88,9.35,0.0
0.69,1,4.07,18.97,10.84,0.0
0.93,13,10.43,9.87,4.18,0.0
0.95,9,12.39,8.58,14.2,0.0
0.61,2,10.6,17.43,0.56,0.0
0.61,7,3.32,17.85,17.8,0.0
0.61,1,0.56,3.33,9.86,0.0
0.7,4,5.29,13.69,16.76,0.0
0.78,14,12.57,2.1,18.33,0.7457
0.64,5,18.22,10.43,15.22,0.7844
0.89,3,17.37,8.52,6.24,0.7973
0.81,5,19.6,0.92,6.21,0.7674
0.75,14,8.63,9.12,0.94,0.7994
0.93,10,3.8,18.47,10.94,0.7938
0.83,7,15.27,5.73,6.51,0.7951
0.64,3,12.86,4.06,19.22,0.7537
0.76,9,16.19,17.07,19.39,0.7891
0.84,9,15.8,4.4,0.99,0.7925
0.73,10,1.32,4.44,7.11,0.7608
0.61,5,11.7,1.44,5.22,0.7721
0.61,9,7.56,0.68,4.65,0.7499
0.86,10,10.32,17.1,0.02,0.7985
0.62,2,3.62,1.65,2.71,0.7897
0.73,5,13.65,16.62,15.1,0.7898
0.67,6,19.81,5.94,19.4,0.7599
0.65,14,14.9,5.1,0.65,0.7962
0.65,15,13.63,7.92,18.8,0.7499
0.81,1,9.99,2.86,3.17,0.7936
0.83,12,18.8,10.57,9.32,0.7972
0.91,12,13.36,10.79,3.25,0.7991
0.81,11,4.06,9.97,5.86,0.796
0.89,9,10.04,5.79,15.02,0.7956
0.8,7,13.84,19.73,4.18,0.8002
0.71,11,15.92,16.59,2.29,0.7992
0.87,1,10.79,13.12,1.35,0.7997
0.94,15,12.1,0.33,8.12,0.7644
0.87,8,10.6,14.26,2.76,0.7996
0.71,4,0.82,12.69,9.67,0.7817
0.92,4,4.15,3.67,4.56,0.7987
0.87,13,16.22,3.96,17.11,0.7859
0.91,5,17.92,8.53,19.69,0.7966
0.64,1,13.43,9.75,6.76,0.7996
0.82,4,13.17,0.6,8.64,0.763
0.86,5,14.03,3.75,6.59,0.7916
0.67,4,1.42,16.61,9.71,0.7849
0.74,8,18.71,6.99,11.93,0.7838
0.89,10,11.84,17.35,3.52,0.7989
0.81,2,11.39,4.67,3.93,0.7974
0.78,6,18.15,7.39,18.53,0.7845
0.89,9,4.25,8.8,15.79,0.7938
0.61,11,9.36,16.99,13.41,0.78
0.63,2,14.26,14.26,0.93,0.7996
0.65,10,16.62,19.28,11.51,0.7907
0.64,7,10.55,14.31,11.4,0.7877
0.78,2,0.79,4.51,1.9,0.7917
0.95,6,15.78,5.51,16.56,0.7944
0.88,2,18.37,16.26,5.47,0.7993
0.68,15,6.57,13.16,8.44,0.7864
0.61,4,19.91,4.97,9.97,0.7815
0.81,7,12.36,12.89,13.5,0.7958
0.79,11,8.86,1.41,12.1,0.7512
0.76,9,9.66,12.04,17.17,0.7821
0.86,5,14.02,7.87,13.11,0.7976
0.75,7,19.17,17.94,6.13,0.7984
0.86,15,11.92,1.36,15.47,0.7702
0.85,15,5.88,17.59,11.51,0.7952
0.63,3,15.59,10.12,10.23,0.7922
0.72,10,2.29,12.18,18.31,0.7588
0.83,15,10.27,7.44,10.6,0.796
0.74,4,15.01,4.52,9.52,0.7851
0.7,1,0.17,16.86,0.96,0.7895
0.82,15,12.49,2.21,4.75,0.7852
0.69,15,14.42,10.37,10.73,0.7865
0.62,2,18.5,12.85,15.26,0.7925
0.64,9,15.44,10.49,18.1,0.7653
0.8,6,2.12,0.62,14.94,0.622
0.88,10,11.54,1.82,18.42,0.7742
0.77,14,10.24,11.15,0.35,0.7998
0.69,11,7.16,8.3,16.74,0.7548
0.63,15,8.33,19.17,3.2,0.7962
0.65,13,16.67,13.76,3.41,0.7982
0.95,5,16.19,10.48,1.3,0.7989
0.65,10,4.01,11.83,18.28,0.7485
0.69,5,12.59,6.34,15.39,0.77
0.68,5,19.82,4.77,5.87,0.7883
0.81,5,0.28,8.72,8.94,0.7845
0.69,2,11.63,17.47,5.1,0.7992
0.94,12,3.1,13.13,4.6,0.7946
0.88,10,6.75,7.02,6.99,0.799
0.69,14,17.03,10.38,4.98,0.7956
0.89,5,17.44,11.03,16.3,0.798
0.73,1,7.49,7.47,18.75,0.7853
0.63,12,4.45,11.67,3.4,0.794
0.66,4,17.38,10.53,18.53,0.78
0.84,1,8.26,13.71,1.94,0.7986
0.88,5,3.56,13.68,1.51,0.7948
0.71,3,19.4,2.19,16.33,0.7619
0.71,8,15.93,6.16,13.63,0.7731
0.71,11,12.26,8.71,2.61,0.7977
0.8,7,6.82,5.26,0.67,0.799
0.74,5,2.22,4.99,19.64,0.7101
0.88,5,18.06,19.68,15.44,0.7996
0.61,6,10.01,18.51,13.85,0.7861
0.69,15,3.69,19.17,4.91,0.7929
0.77,4,13.06,10.34,14.87,0.7911
0.72,5,0.61,12.08,16.16,0.7674
0.91,13,18.27,4.08,13.13,0.7887
0.89,10,9.24,2.47,7.01,0.7902
0.92,5,3.26,11.44,11.05,0.7942
0.88,13,10.08,17.56,3.63,0.7986
0.69,7,11.69,1.76,1.9,0.7862
0.61,8,15.69,17.79,19.89,0.7759
0.62,6,1.37,0.18,1.86,0.7164
0.94,3,4.11,16.68,0.48,0.7948
0.7,11,14.65,7.92,13.74,0.7757
0.89,12,11.61,15.87,16.45,0.7976
0.91,1,9.01,8.2,18.44,0.7984
0.61,12,19.06,14.86,11.28,0.7881
0.79,13,6.16,4.43,10.66,0.7799
0.88,13,19.97,12.74,6.71,0.7992
0.63,6,9.87,17.82,8.47,0.7937
0.84,11,15.14,16.73,6.77,0.7996
0.74,2,9.46,9.18,5.73,0.7971
0.78,4,17.43,8.84,5.4,0.7976
0.62,4,15.83,7.86,4.43,0.7969
0.6,1,17.09,15.98,19.93,0.7953
0.81,9,19.77,14.87,12.58,0.7972
0.78,1,19.17,5.47,3.49,0.7936
0.6,4,16.54,14.85,1.65,0.799
0.89,3,12.36,5.75,17.19,0.796
0.62,2,0.87,14.47,10.65,0.7851
0.61,9,12.76,10.68,6.45,0.7923
0.85,13,1.21,11.31,16.39,0.7862
0.79,15,6.75,16.89,0.36,0.7964
0.72,10,15.31,12.5,15.43,0.7837
0.8,13,15.05,15.01,3.42,0.8
0.76,6,2.21,14.59,3.05,0.7925
0.69,3,1.79,10.8,16.75,0.77
0.67,11,6.62,19.21,12.67,0.7829
0.71,6,4.51,11.47,14.29,0.7759
0.63,3,8.66,14.63,6.53,0.7958
0.63,8,9.13,6.35,13.4,0.7552
0.78,8,6.64,17.47,1.94,0.7964
0.81,2,6.48,6.22,12.88,0.7911
0.82,3,17.59,5.27,6.65,0.7933
0.93,2,1.93,8.84,10.23,0.794
0.78,10,16.53,10.77,19.65,0.7873
0.93,4,3.5,0.65,17.79,0.7807
0.84,11,18.81,11.41,11.15,0.7974
0.93,15,16.62,15.5,12.09,0.7989
0.89,4,8.68,14.86,6.23,0.7986
0.89,10,11.97,14.59,3.38,0.7996
0.79,6,19.61,15.21,10.57,0.7972
0.87,7,6.44,15.06,8.63,0.7967
0.85,8,3.77,0.14,3.66,0.7578
0.72,2,18.19,3.41,12.6,0.7794
0.93,2,5.74,9.78,16.64,0.7983
0.93,2,18.94,4.83,6.84,0.7917
