metric,statistic,p_value,systems,queries,note
recall1,16530.753695892825,0.0,12,14977,
recall5,14146.95335732768,0.0,12,14977,
recall10,12939.680755247327,0.0,12,14977,
recall100,6201.7994259998,0.0,12,14977,
precision1,16530.753695892825,0.0,12,14977,
precision5,14146.95335732768,0.0,12,14977,
precision10,12939.680755247327,0.0,12,14977,
f1_1,16530.753695892825,0.0,12,14977,
mrr5,21368.462685958893,0.0,12,14977,
ap,22287.704278827292,0.0,12,14977,
ndcg5,21368.462685958893,0.0,12,14977,
ndcg10,22449.28553573199,0.0,12,14977,
ndcg100,22563.093325471535,0.0,12,14977,
